,custo,erro,Theta_fb0,Theta_fb1,Theta_fb2,Theta_fb3,Theta_fb4,Theta_fb5,Theta_fb6,Theta_fb7,Theta_fb8,Theta_fb9,Theta_fb10,Theta_fb11
22,-132.83894267497465,-1184.7686717344782,9.0,1063.3587152830337,4.0,5.0,2.0,3.0,2174.506139914552,10042.166885816425,427.2527425766498,0.0,1056.365854977923,2119.7245702609566
23,-113.65150183330563,-1691.4297501309782,10.0,1325.6682403698426,3.0,7.0,1.0,1.0,2403.4246030698387,9036.645078022495,220.3483251386258,819.1562303422074,-5358.285287896269,-4032.617047526428
24,85.10267095884436,248.43837964737185,9.0,959.4602143606606,2.0,7.0,0.0,0.0,1794.7094497526164,6697.335494370327,0.0,626.9632672784412,306.99246772710774,1266.4526820877682
25,-149.8649002072243,1114.4779418585251,9.0,1141.7737509116746,3.0,6.0,1.0,2.0,2176.673307103123,8070.361429452436,150.1040752871219,88.74806372494515,-61.482001239912435,1080.291749671762
26,-242.69980245304103,-188.436912820011,10.0,1351.2001398059115,4.0,6.0,2.0,2.0,2855.548613361071,13048.77475050896,296.68367270600356,0.0,420.9420774240361,1772.1422172299476
27,-181.72564519576628,-671.8233717850676,11.0,1385.7566140643235,6.0,5.0,2.0,2.0,3154.607609738442,14124.390827284327,390.66938211604554,383.07030117797945,720.0565072902942,2105.8131213546176
28,70.70269805135757,2229.176202483659,12.0,1454.2026061354775,6.0,6.0,0.0,0.0,3347.910812983921,16328.099767499345,0.0,246.27719919861624,-14.20497749603851,1439.9976286394397
29,-104.39920205626564,2004.8195006162225,10.0,1189.2640695333953,6.0,4.0,2.0,3.0,2537.8402229825983,15364.097524254314,551.0893422247723,295.3976110637086,763.7537123938657,1953.0177819272608
30,-132.5801443159796,11533.051777568606,10.0,1345.3364029553227,7.0,3.0,3.0,5.0,2434.831130532038,16403.71141940676,625.7459711664685,0.0,424.3172627942145,1769.653665749538
31,-179.41288013545366,4089.7195637954737,12.0,1729.3765500576549,7.0,5.0,1.0,2.0,3445.1528258302487,21571.424477262433,256.80819171826295,-20.97451541087938,341.1152735264082,2070.4918235840632
32,-190.17081948005145,-1431.323389948534,11.0,1227.935948664166,6.0,5.0,1.0,1.0,2814.2620945357403,17039.55764032331,256.80819171826295,543.0718550598335,1159.8757077082835,2387.8116563724493
33,-205.7464787824935,991.5786274332936,9.0,1293.5595027282736,4.0,5.0,1.0,1.0,2630.0614939311085,14519.614790770996,113.85318451882996,0.0,1586.8887475895235,2880.448250317797
34,-287.7764519785026,-746.0477995564597,11.0,1680.2964766817956,5.0,6.0,1.0,2.0,3385.5861898872013,18783.656305388682,293.93124213736064,764.5955258463046,2207.3491620173627,3887.6456386991586
35,-188.61536947315182,-831.2538990551936,10.0,1520.2954998007624,6.0,4.0,2.0,3.0,2815.457572609803,13704.670125220466,367.80524544508575,1182.5539811643232,1267.0330638842836,2787.328563685046
36,-146.81887541904786,-785.5460151874684,10.0,1405.1264295273868,6.0,4.0,3.0,3.0,2633.824815241214,12145.900423035102,247.55192387726314,345.34175434512065,734.0762523769562,2139.202681904343
37,-274.0024511733096,-1001.5873473496466,10.0,1462.1133028081113,6.0,4.0,0.0,0.0,2435.7467241260365,13497.33865252635,0.0,0.0,135.7800523378217,1597.8933551459334
38,-291.58807281211466,-227.85405594551492,11.0,1306.5377290981942,5.0,6.0,0.0,0.0,2451.321438834297,15058.687446861695,0.0,-69.4492319655733,306.2526590776497,1612.790388175844
39,-282.29724475280625,-2054.238679087272,11.0,1230.824296790366,5.0,6.0,1.0,2.0,2500.9933905905064,16303.258046140425,295.98072340818703,95.02098822964791,1518.866176984734,2749.6904737751
40,-156.43211051533692,-737.3526308600924,12.0,1288.5930207073127,4.0,8.0,1.0,1.0,2772.663535666345,17898.64621604945,295.98072340818703,1438.396462759896,1866.0271871438415,3154.620207851154
41,-183.6420495379164,8633.08881823092,11.0,1510.451232579206,4.0,7.0,1.0,1.0,2630.2286283967323,17026.801902044353,331.6907849591412,118.01990608043752,1221.531998179971,2731.9832307591773
42,-267.2937170641695,239.06003923734096,12.0,1614.2168908474878,4.0,8.0,1.0,1.0,2857.489841024174,19070.232776120283,45.993103141483076,0.0,-11.863870451062837,1602.3530203964247
43,1122.3240233237063,208.3598647930752,14.0,1567.9084155388173,4.0,10.0,0.0,0.0,3213.118277917391,20248.067806643758,0.0,1542.6520360677735,755.1950195989658,2323.103435137783
44,59.53378518170379,203.76288876251695,12.0,1464.193902326004,3.0,9.0,1.0,1.0,2588.238818508976,14815.272887554396,174.97881902018588,291.37827437738855,-238.17584630453555,1226.018056021468
45,28.779746259935735,-230.98027346789144,12.0,1532.9651780173103,4.0,8.0,1.0,3.0,2940.0993868404667,15732.287294759379,259.4490406927166,294.71054213012354,-209.27400869720785,1323.6911693201023
46,-293.7129072104074,-110.67747447334727,12.0,1815.772875167031,4.0,8.0,1.0,2.0,3443.9638297139263,18289.162291154407,259.4490406927166,0.0,-401.80788959242386,1413.9649855746072
