estagio,projeto,area,etapa,decisao,vpl,tfunil
12,p4.0,0,2,Continuar,294.02839486201214,2.6666666666666665
12,p6.0,1,3,Abandonar,168.47292896690476,3.5
13,p12.0,0,1,Continuar,136.58886967116015,1.0
13,p12.1,0,1,Melhorar,54.56727256372818,1.0
13,p8.0,1,2,Continuar,360.6088330958438,2.0
13,p10.0,1,2,Continuar,153.2411619878234,2.0
13,p9.0,0,2,Continuar,320.89202041509833,2.6666666666666665
13,p9.1,0,2,Melhorar,-510.7602862803837,2.3333333333333335
13,p8.1,0,3,Melhorar,351.3952691889228,3.0
13,p10.1,1,3,Abandonar,325.1748240249452,3.0
13,p4.0,0,3,Continuar,254.06325132782567,3.0
14,p13.0,1,1,Melhorar,198.5218046756436,1.0
14,p13.1,0,1,Continuar,181.76226487184854,1.0
14,p12.0,0,2,Continuar,125.38259854452677,2.0
14,p12.1,0,2,Continuar,56.787135731443115,2.0
14,p8.0,1,2,Continuar,365.63544951368357,2.5
14,p9.1,0,2,Continuar,-178.98356568163618,2.6666666666666665
14,p10.0,1,3,Abandonar,148.05117074867442,3.0
14,p9.0,0,3,Continuar,312.6635622526898,3.0
14,p8.1,0,3,Melhorar,363.1815270241619,3.3333333333333335
14,p4.0,0,3,Abandonar,254.3047508254297,3.5
15,p13.0,1,1,Melhorar,249.80946526095883,1.0
15,p13.1,0,1,Continuar,202.80477265767573,1.3333333333333335
15,p14.0,0,1,Abandonar,-2106.8267882396262,1.0
15,p14.1,1,1,Abandonar,242.38498727459702,1.0
15,p12.0,0,2,Continuar,118.0974358634987,2.3333333333333335
15,p12.1,0,3,Continuar,59.190287774840215,3.0
15,p8.0,1,3,Melhorar,374.1498367625621,3.0
15,p9.1,0,3,Continuar,155.52703105978622,3.0
15,p9.0,0,3,Continuar,315.6030011835093,3.3333333333333335
15,p8.1,0,3,Abandonar,364.42570612549696,3.6666666666666665
16,p13.0,1,1,Melhorar,192.58838478417815,1.0
16,p13.1,0,1,Continuar,370.6139458750999,1.6666666666666667
16,p15.0,1,1,Continuar,147.5726360749631,1.0
16,p15.1,0,1,Continuar,506.7148921239724,1.0
16,p12.0,0,2,Continuar,111.11332053774998,2.6666666666666665
16,p12.1,0,3,Abandonar,58.406052370157575,3.5
16,p8.0,1,3,Abandonar,399.146401641296,3.5
16,p9.1,0,3,Abandonar,279.2895198919568,3.5
16,p9.0,0,3,Abandonar,313.61550798152206,3.6666666666666665
17,p13.0,1,1,Continuar,337.1044610553952,1.5
17,p15.0,1,1,Continuar,145.57707335678072,1.3333333333333335
17,p16.0,0,1,Melhorar,153.54701180626745,1.0
17,p16.1,0,1,Continuar,604.6319035699319,1.0
17,p13.1,0,2,Melhorar,250.70177213396965,2.0
17,p15.1,0,2,Continuar,543.1183338944057,2.0
17,p12.0,0,3,Abandonar,130.96450728283367,3.0
18,p15.0,1,1,Continuar,186.0075519211953,1.3333333333333335
18,p16.0,0,1,Melhorar,226.0092125072413,1.5
18,p16.1,0,1,Continuar,577.2635326596761,1.0
18,p17.0,0,1,Abandonar,190.8785334010699,1.0
18,p17.1,0,1,Abandonar,-7234.706374796486,1.0
18,p13.0,1,2,Continuar,424.36098300352563,2.0
18,p13.1,0,2,Melhorar,332.4049620305785,2.3333333333333335
18,p15.1,0,2,Continuar,565.6943918773819,2.3333333333333335
19,p15.0,1,1,Continuar,188.4776299574977,1.6666666666666667
19,p16.1,0,1,Continuar,603.039178562994,1.3333333333333335
19,p18.0,0,1,Continuar,-1730.490811176783,1.0
19,p18.1,0,1,Melhorar,133.90947783982134,1.0
19,p16.0,0,2,Melhorar,351.4325075383332,2.0
19,p13.0,1,2,Continuar,518.8997316138148,2.3333333333333335
19,p13.1,0,2,Melhorar,417.470731841996,2.6666666666666665
19,p15.1,0,2,Continuar,590.6427597052104,2.6666666666666665
20,p16.1,0,1,Continuar,624.4326510136079,1.6666666666666667
20,p18.0,0,1,Continuar,-889.3248719501709,1.0
20,p18.1,0,1,Melhorar,138.4799287292782,1.5
20,p19.0,1,1,Continuar,378.98268300550245,1.0
20,p19.1,0,1,Abandonar,-1114.059118558587,1.0
