valorSim - custoSim,v0,custoSim,valorSim,QProj,QProjNovos,QProje,Qproja,QProjDiv,QProjDiva,QProjDive,QProjnDiv,TCongP,TCongReP,NecRecP,NecRecPa,NecRecPe,OrTotal,QRecMax,QProjCong,QProjCongE,QProjCongA,RetMnTotalProj,RetMxTotalProj,RetMnTotalA,RetMxTotalA,DesemMxProj,DesemMnProj,VPLMnTotal,VPLMxTotal,CustoMnTotal,CustoMxTotal,VPLMnTotalA,VPLMxTotalA,VPLMnTotalE,VPLMxTotalE,CustoMnTotalCong,CustoMxTotalCong,
-20.70,39.17,41.97,21.27,8.00,1.00,4.00,2.00,5.00,1.00,2.00,3.00,0.00,6.00,33.82,52.46,135.30,-2.24,9.03,4.00,2.00,1.00,103.81,518.18,311.43,1554.55,311.06,55.27,144.73,685.96,51.91,259.09,51.91,777.27,144.73,685.96,91.20,497.21,
122.67,39.58,57.19,179.86,8.00,2.00,4.00,2.00,4.00,1.00,2.00,4.00,0.00,5.00,34.71,53.13,138.84,5.74,8.03,4.00,2.00,1.00,86.07,292.17,258.20,876.50,259.77,47.16,120.69,536.71,43.03,146.08,43.03,438.25,120.69,536.71,56.41,337.99,
95.25,39.86,50.50,145.74,8.00,3.00,4.00,2.00,4.00,1.00,2.00,4.00,0.00,3.00,25.68,40.00,102.72,16.20,6.72,3.00,1.00,1.00,139.68,655.36,419.04,1966.08,272.73,44.37,114.30,588.12,69.84,327.68,69.84,983.04,114.30,588.12,31.45,174.86,
288.92,41.11,39.94,328.86,6.00,0.00,3.00,2.00,3.00,1.00,1.00,3.00,0.00,3.00,9.88,12.55,29.64,45.15,4.14,3.00,1.00,1.00,0.00,0.00,0.00,0.00,200.16,34.58,50.51,268.74,0.00,0.00,0.00,0.00,50.51,268.74,21.01,111.56,
-18.67,40.81,18.67,0.00,8.00,0.00,4.00,2.00,3.00,1.00,1.00,5.00,0.00,2.00,23.14,35.16,92.57,19.92,6.26,2.00,1.00,0.00,0.00,0.00,0.00,0.00,190.02,32.54,79.45,410.05,0.00,0.00,0.00,0.00,79.45,410.05,19.08,100.35,
-43.81,40.39,43.81,0.00,9.00,2.00,4.00,3.00,3.00,1.00,1.00,6.00,0.00,3.00,27.04,47.76,121.66,10.46,6.62,3.00,1.00,1.00,105.22,655.30,315.66,1965.91,198.60,29.86,114.49,648.84,52.61,327.65,52.61,982.95,114.49,648.84,31.91,183.77,
115.91,40.76,59.54,175.45,9.00,3.00,4.00,3.00,5.00,1.00,2.00,4.00,0.00,5.00,34.92,57.23,157.13,8.56,6.83,5.00,2.00,1.00,93.61,394.19,280.84,1182.56,165.96,23.27,99.09,525.36,46.81,197.09,46.81,591.28,99.09,525.36,60.33,355.41,
101.50,41.07,61.44,162.94,8.00,4.00,4.00,2.00,4.00,1.00,2.00,4.00,0.00,4.00,34.77,55.85,139.10,8.04,7.74,4.00,2.00,1.00,116.80,606.89,350.41,1820.66,174.90,20.77,86.65,527.32,58.40,303.44,58.40,910.33,86.65,527.32,38.65,307.27,
144.88,41.59,55.28,200.17,6.00,1.00,3.00,2.00,2.00,0.00,1.00,4.00,0.00,1.00,21.02,32.93,63.05,30.53,6.58,1.00,0.00,0.00,32.64,323.85,97.93,971.55,217.72,30.78,55.48,383.07,16.32,161.93,16.32,485.78,55.48,383.07,16.32,161.93,
57.08,41.66,32.89,89.97,6.00,0.00,3.00,2.00,2.00,0.00,1.00,4.00,0.00,4.00,21.63,24.74,64.89,36.44,5.59,2.00,1.00,0.00,0.00,0.00,0.00,0.00,186.66,30.41,48.18,258.38,0.00,0.00,0.00,0.00,48.18,258.38,10.97,78.42,
-29.82,41.31,29.82,0.00,8.00,2.00,4.00,2.00,3.00,1.00,1.00,5.00,0.00,4.00,25.90,40.80,103.60,24.43,5.70,3.00,1.00,1.00,46.02,229.74,138.06,689.22,205.06,33.56,81.56,433.04,23.01,114.87,23.01,344.61,81.56,433.04,21.93,162.44,
17.26,41.19,37.30,54.56,7.00,0.00,3.00,2.00,5.00,1.00,2.00,2.00,0.00,5.00,28.08,36.69,98.28,21.08,6.99,4.00,2.00,1.00,0.00,0.00,0.00,0.00,262.06,47.29,89.30,470.13,0.00,0.00,0.00,0.00,89.30,470.13,48.40,276.47,
