valorSim - custoSim,v0,custoSim,valorSim,QProj,QProjNovos,QProje,Qproja,Qprojae,QProjDiv,QProjDiva,QProjDive,QProjnDiv,TCongP,TCongReP,NecRecP,NecRecPa,NecRecPe,OrTotal,QRecMax,QModosP,QProjCong,QProjCongE,QProjCongA,RetMnTotalProj,RetMxTotalProj,RetMnTotalA,RetMxTotalA,DesemMxProj,DesemMnProj,VPLMnTotal,VPLMxTotal,CustoMnTotal,CustoMxTotal,VPLMnTotalA,VPLMxTotalA,VPLMnTotalE,VPLMxTotalE,CustoMnTotalCong,CustoMxTotalCong,
-42.36,46.39,42.36,0.00,9.00,2.00,4.00,4.00,4.00,4.00,2.00,2.00,5.00,0.00,6.00,25.49,25.49,25.49,21.12,5.43,0.00,4.00,4.00,4.00,152.44,701.29,304.88,1402.58,249.83,47.30,152.99,725.40,76.22,350.65,152.44,701.29,305.97,1450.80,79.50,431.88,
262.98,47.48,48.98,311.96,9.00,3.00,4.00,4.00,4.00,3.00,1.00,1.00,6.00,0.00,5.00,36.49,36.49,36.49,5.46,7.17,0.00,3.00,3.00,3.00,67.43,370.33,134.86,740.65,228.41,39.57,114.26,568.51,33.72,185.16,67.43,370.33,228.52,1137.01,46.28,258.99,
76.58,47.62,64.54,141.13,8.00,1.00,4.00,4.00,4.00,3.00,1.00,1.00,5.00,0.00,5.00,28.70,28.70,28.70,19.01,6.37,0.00,3.00,3.00,3.00,39.22,151.33,78.44,302.67,238.04,43.20,113.06,545.97,19.61,75.67,39.22,151.33,226.13,1091.93,63.31,362.80,
3.92,47.40,51.09,55.01,9.00,2.00,4.00,4.00,4.00,2.00,1.00,1.00,7.00,0.00,3.00,27.32,27.32,27.32,14.26,6.19,0.00,2.00,2.00,2.00,124.35,773.11,248.69,1546.21,232.78,41.28,145.20,748.07,62.17,386.55,124.35,773.11,290.40,1496.15,60.87,433.51,
229.94,48.32,55.74,285.68,9.00,2.00,4.00,4.00,4.00,3.00,1.00,1.00,6.00,0.00,4.00,25.74,25.74,25.74,15.51,6.05,0.00,3.00,3.00,3.00,140.77,518.69,281.55,1037.38,166.02,31.33,123.30,528.85,70.39,259.35,140.77,518.69,246.60,1057.69,46.84,253.46,
98.09,48.56,46.77,144.86,9.00,1.00,4.00,4.00,4.00,3.00,1.00,1.00,6.00,0.00,3.00,28.99,28.99,28.99,12.92,6.34,0.00,2.00,2.00,2.00,46.90,141.97,93.80,283.94,135.17,21.72,80.54,394.57,23.45,70.99,46.90,141.97,161.08,789.13,15.99,48.51,
30.41,48.47,49.23,79.64,8.00,5.00,4.00,4.00,4.00,3.00,1.00,1.00,5.00,0.00,5.00,30.86,30.86,30.86,17.71,6.54,0.00,3.00,3.00,3.00,131.19,731.23,262.38,1462.45,171.13,28.36,95.19,503.64,65.59,365.61,131.19,731.23,190.37,1007.27,30.19,115.63,
227.95,49.37,52.29,280.24,5.00,0.00,2.00,2.00,2.00,3.00,1.00,1.00,2.00,0.00,5.00,21.70,21.70,21.70,34.27,7.15,0.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,198.10,42.22,53.09,230.19,0.00,0.00,0.00,0.00,106.19,460.38,23.95,107.70,
-35.73,48.95,35.73,0.00,7.00,0.00,3.00,3.00,3.00,5.00,2.00,2.00,2.00,0.00,8.00,23.53,23.53,23.53,34.53,5.07,0.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,207.33,36.52,77.70,399.12,0.00,0.00,0.00,0.00,155.40,798.24,41.18,243.87,
-28.52,48.56,28.52,0.00,9.00,3.00,4.00,4.00,4.00,7.00,3.00,3.00,2.00,0.00,8.00,28.79,28.79,28.79,16.70,5.92,0.00,6.00,6.00,6.00,135.40,746.31,270.80,1492.63,211.20,36.56,123.78,642.07,67.70,373.16,135.40,746.31,247.56,1284.13,67.62,359.44,
