valorSim - custoSim,v0,custoSim,valorSim,QProj,QProjNovos,QProje,Qproja,Qprojae,QProjDiv,QProjDiva,QProjDive,QProjnDiv,TCongP,TCongReP,NecRecP,NecRecPa,NecRecPe,OrTotal,QRecMax,QModosP,QProjCong,QProjCongE,QProjCongA,RetMnTotalProj,RetMxTotalProj,RetMnTotalA,RetMxTotalA,DesemMxProj,DesemMnProj,VPLMnTotal,VPLMxTotal,CustoMnTotal,CustoMxTotal,VPLMnTotalA,VPLMxTotalA,VPLMnTotalE,VPLMxTotalE,CustoMnTotalCong,CustoMxTotalCong,
18.67,38.13,65.87,84.54,8.00,1.00,4.00,4.00,4.00,6.00,3.00,3.00,2.00,0.00,6.00,42.12,42.12,42.12,-2.48,9.06,0.00,6.00,6.00,6.00,78.72,308.60,157.44,617.21,215.30,37.29,115.18,532.47,39.36,154.30,78.72,308.60,230.36,1064.93,96.78,410.63,
86.97,38.37,61.04,148.00,8.00,2.00,4.00,4.00,4.00,6.00,3.00,3.00,2.00,0.00,7.00,33.55,33.55,33.55,15.69,6.79,0.00,6.00,6.00,6.00,51.76,226.10,103.53,452.21,213.01,38.61,113.10,540.65,25.88,113.05,51.76,226.10,226.20,1081.30,85.24,374.98,
4.90,38.21,52.53,57.43,7.00,4.00,3.00,3.00,3.00,4.00,2.00,2.00,3.00,0.00,5.00,23.80,23.80,23.80,27.35,6.09,0.00,4.00,4.00,4.00,208.56,1020.40,417.11,2040.81,216.11,42.17,128.57,612.69,104.28,510.20,208.56,1020.40,257.14,1225.39,84.75,379.22,
421.30,40.12,35.28,456.59,4.00,0.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,0.00,4.00,13.90,13.90,13.90,44.97,6.26,0.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,192.93,33.37,35.54,177.94,0.00,0.00,0.00,0.00,71.08,355.87,10.14,27.33,
-25.23,39.80,25.23,0.00,6.00,0.00,3.00,3.00,3.00,3.00,1.00,1.00,3.00,0.00,5.00,13.40,13.40,13.40,41.30,4.78,0.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,182.88,31.33,59.90,309.62,0.00,0.00,0.00,0.00,119.79,619.24,23.53,93.35,
-28.80,39.45,28.80,0.00,8.00,2.00,4.00,4.00,4.00,4.00,2.00,2.00,4.00,0.00,6.00,26.80,26.80,26.80,19.45,6.32,0.00,4.00,4.00,4.00,84.76,399.15,169.52,798.30,178.07,31.59,95.87,465.27,42.38,199.58,84.76,399.15,191.73,930.55,39.73,151.18,
146.37,39.99,50.65,197.02,8.00,1.00,4.00,4.00,4.00,3.00,1.00,1.00,5.00,0.00,4.00,30.57,30.57,30.57,13.00,7.12,0.00,3.00,3.00,3.00,43.78,257.38,87.55,514.76,169.30,30.05,86.85,412.47,21.89,128.69,43.78,257.38,173.70,824.93,33.70,170.81,
42.02,40.00,57.00,99.02,9.00,4.00,4.00,4.00,4.00,3.00,1.00,1.00,6.00,0.00,5.00,42.34,42.34,42.34,2.24,7.53,0.00,3.00,3.00,3.00,82.98,268.71,165.95,537.43,192.20,37.98,107.00,449.43,41.49,134.36,82.98,268.71,213.99,898.87,28.76,103.80,
52.77,40.06,67.76,120.53,7.00,0.00,3.00,3.00,3.00,2.00,1.00,1.00,5.00,0.00,4.00,27.81,27.81,27.81,26.61,6.20,0.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,245.43,50.57,101.47,468.56,0.00,0.00,0.00,0.00,202.94,937.11,21.30,66.24,
-43.49,39.64,43.49,0.00,9.00,4.00,4.00,4.00,4.00,3.00,1.00,1.00,6.00,0.00,6.00,35.71,35.71,35.71,10.24,6.64,0.00,3.00,3.00,3.00,207.63,1051.31,415.27,2102.62,226.23,45.06,154.90,728.64,103.82,525.66,207.63,1051.31,309.80,1457.27,33.23,115.16,
